طابع زمني,1. الجنس,2. الفئة العمرية,3. مكان الإقامة الحالي,4. أعلى مستوى تعليمي,5. هل تعمل أو تدرس في مجال طبي أو صحي ؟,6. هل سبق لك استخدام الأعشاب الطبية لعلاج أي حالة صحية ؟,"7. عندما تمرض, ما الخيار الذي تلجأ إليه أولاً ؟ (يمكن الاختيار اكثر من اجابة)",8. هل تقرأ أو تسأل أو تبحث عن الأعشاب التي تريد استخدامها قبل الاستعمال ؟,9. ما العامل الأهم عند اختيارك للأعشاب ؟,10. هل شعرت أن الأعشاب كانت فعالة في علاج حالتك ؟,11. أي من الأعشاب السورية الشائعة استخدمتها أو سمعت عنها؟ (يمكن الاجابة على اكثر من اجابة),12. هل تعلم أن الأعشاب قد تتداخل مع بعض الأدوية وتسبب مشاكل صحية ؟,"13. برأيك, هل ""المنتج الطبيعي = آمن تماماً ولا يسبب أي أضرار""",14. هل اشتريت أدوية عشبية أو خلطات عشبية عبر الإنترنت ؟,15. هل تعتقد أن هناك أعشاب تباع بأسماء أخرى مختلفة عن اسمها الحقيقي (مثلاً الأقحوان بدلاً من البابونج)؟,16. هل تعتقد أن الأعشاب المطحونة قد تكون مغشوشة بإضافة مواد أخرى ؟,17. هل سبق لك استخدام أعشاب طبية بغرض التنحيف أو إنقاص الوزن ؟,18. أي من هذه الأعشاب استخدمتها للتنحيف؟(يمكن الإجابة على أكثر من خيار),19. هل تعتقد أن هناك حالات غش بمواد دوائية (مثل الملينات أو المدرات الكيميائية) في وصفات الأعشاب للتنحيف دون تصريح عنها ؟,20. هل تعتقد أن هناك حالات غش في الأعشاب وخلطات العسل المقوية باستخدام مركبات دوائية مقوية دون التصريح عنها ؟,21. هل تعتقد أن الإفراط في استخدام الأعشاب الطبية قد يسبب ضرراً للكبد أو الكلى ؟,22. كم مرة تستخدم الأعشاب الطبية *دون استشارة طبيب أو صيدلاني*,23. هل سبق أن شعرت بأي أعراض جانبية بعد استخدام أعشاب طبية ؟ (يمكن اختيار اكثر من اجابة),24. هل تعتقد أن الأعشاب آمنة بأي جرعة وليس لها أي آثار جانبية ؟,25. هل تعتقد أن هناك توابل وبهارات شائعة لها أضرار عند استخدامها بجرعات عالية؟,26. هل تعلم أو سمعت بوجود أعشاب طبية منشطة أو مهدئة للجهاز العصبي قد تسبب الإدمان أو الاعتماد عليها عند الاستخدام المطول ؟,"27. برأيك , هل يمكن لبعض الأعشاب المهدئة أو المنشطة أن تسبب اعتماداً نفسياً أو جسدياً مشابه للأدوية الكيميائية ؟","28. برأيك , ماهو السبب الرئيسي لانتشار الوصفات العشبية الخاطئة أو الخطرة على وسائل التواصل الاجتماعي ؟ (يمكن اختيار اكثر من اجابة)","29. إذا تم تطوير *تطبيق ذكي مجاني باللغة العربية* يعمل كمساعد منزلي يقدم معلومات علمية موثوقة عن الأعشاب السورية , هل ستستخدمه؟",30. هل لديك أي اقتراحات أو ملاحظات إضافية حول  استخدام الأعشاب الطبية في سوريا ؟
2026-04-17 20:05:10.132,أنثى,18-25 سنة,اللاذقية,ثانوية,لا,"لا , ابدا",الأدوية من الصيدلية,أبداً,الثقة بالمصدر,لم تكن فعالة,"اليانسون, البابونج, النعناع, الورد الدمشقي, أوراق الزيتون, ",نعم,لا أوافق,لا,لا أعرف,لا أعرف,لا,,لا أعرف,لا أعرف,لا أعرف,أبداً,"حساسية, ",لا أعرف,لا أعرف,"لا , لم أسمع بهذا من قبل",لا أعرف,قلة الرقابة على المحتوى,لا,
2026-04-17 20:07:38.867,أنثى,18-25 سنة,اللاذقية,بكالوريوس,لا,"لا , ابدا",الأدوية من الصيدلية,أحياناً,الشهرة/التجربة,لا أعلم,"إكليل الجبل, اليانسون, ",نعم,أوافق,نعم,نعم,نعم بشدة,نعم (انتقل إلى السؤال 18),"السنامكي, العشرق, الشاي الأخضر",نعم,نعم,نعم بالتأكيد,دائماً,تقلصات أو آلام في البطن,لا,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",لا أعرف,كل ما سبق,نعم بالتأكيد,لا
2026-04-17 20:11:07.540,أنثى,18-25 سنة,اللاذقية,بكالوريوس,لا,"نعم , بانتظام",الأعشاب الطبية,أحياناً,الثقة بالمصدر,نعم جداً,"إكليل الجبل, اليانسون, البابونج, النعناع, الورد الدمشقي",نعم,أوافق,نعم,نعم,ربما,لا,,ربما,ربما,ربما,دائماً,"لم أشعر بأي أعراض, ",نعم,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,"قلة الرقابة على المحتوى, انتشار الموروث الشعبي الخاطئ, عدم وعي المستخدمين بالمخاطر, رغبة الناس في حلول سريعة ورخيصة, كل ما سبق",نعم بالتأكيد,"يجب ان يكون في رقابة ووعي للاستخدام وللتضحية على الإنترنت لأنه يمكن انو يكون خاطئ 
يجب انو يكون هناك مواد تعريفية عن المواد اكثر من ذلك لتعرّفه الناس على فوائد الأعشاب "
2026-04-17 20:14:39.363,أنثى,36-50 سنة,حلب,ثانوية,لا,"نعم , احيانا","الأدوية من الصيدلية, زيارة الطبيب",دائماً,الجودة,نعم جداً,البابونج,نعم,محايد,لا,نعم,نعم,لا,الشاي الأخضر,نعم,نعم بشدة,ربما,غالباً,حساسية,ربما,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,قلة الرقابة على المحتوى,ربما,لا لايوجد
2026-04-17 20:15:36.383,أنثى,أكثر من 50 سنة,اللاذقية,ثانوية,لا,"نعم , بانتظام",الأعشاب الطبية,أحياناً,نصيحة شخص آخر,إلى حد ما,إكليل الجبل,نعم,أوافق,لا,نعم,نعم,نعم (انتقل إلى السؤال 18),"السنامكي, الشاي الأخضر",نعم,نعم,ربما,أحياناً,لم أشعر بأي أعراض,لا,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,رغبة الناس في حلول سريعة ورخيصة,نعم بالتأكيد,لا شكرا
2026-04-17 20:18:38.075,أنثى,18-25 سنة,دمشق,ثانوية,لا,"نعم , احيانا",الأعشاب الطبية,دائماً,الثقة بالمصدر,نعم جداً,البابونج,نعم,محايد,لا,نعم,نعم بشدة,لا,,نعم بشدة,نعم,نعم بالتأكيد,أحياناً,لم أشعر بأي أعراض,لا,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",لا أعتقد ذلك,"قلة الرقابة على المحتوى, عدم وعي المستخدمين بالمخاطر, رغبة الناس في حلول سريعة ورخيصة",نعم بالتأكيد,
2026-04-17 20:18:49.190,ذكر,18-25 سنة,المانيا,ثانوية,لا,"نعم , احيانا",الأدوية من الصيدلية,أحياناً,نصيحة شخص آخر,إلى حد ما,"الزعتر السوري, اليانسون, البابونج, النعناع",لا,محايد,لا,لا أعرف,ربما,لا,,لا أعرف,لا أعرف,لا أعرف,أحياناً,لم أشعر بأي أعراض,لا أعرف,ربما,"لا , لم أسمع بهذا من قبل",لا أعرف,انتشار الموروث الشعبي الخاطئ,ربما,
2026-04-17 20:23:55.482,أنثى,36-50 سنة,خارج سوريا (يرجى تحديد البلد),أقل من الثانوية,لا,"نعم , احيانا",الأعشاب الطبية,أحياناً,نصيحة شخص آخر,إلى حد ما,"إكليل الجبل, النعناع, ",لا,أوافق,لا,لا أعرف,ربما,نعم (انتقل إلى السؤال 18),"الشاي الأخضر, ",ربما,لا أعرف,لا أعرف,غالباً,"تقلصات أو آلام في البطن, تسارع ضربات القلب",لا أعرف,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",لا أعرف,رغبة الناس في حلول سريعة ورخيصة,ربما,
2026-04-17 20:29:21.380,أنثى,18-25 سنة,اللاذقية,ثانوية,لا,"نعم , بانتظام","الأعشاب الطبية, الأدوية من الصيدلية",دائماً,الثقة بالمصدر,نعم جداً,البابونج,نعم,أوافق,لا,لا أعرف,ربما,نعم (انتقل إلى السؤال 18),ميرمية,ربما,لا أعرف,ربما,نادراً,لم أشعر بأي أعراض,لا,نعم,"لا , لم أسمع بهذا من قبل",ربما في حالات الاستخدام الطويل,كل ما سبق,نعم بالتأكيد,
2026-04-17 20:54:55.456,أنثى,18-25 سنة,اللاذقية,دراسات عليا,نعم,"لا , ابدا",زيارة الطبيب,نادراً,الشهرة/التجربة,نعم جداً,النعناع,نعم,أوافق,لا,لا,ربما,لا,,لا أعرف,ربما,لا أعرف,أبداً,لم أشعر بأي أعراض,ربما,نعم,سمعت بالمصطلح بشكل عام لكن لا أعرف أمثلة,ربما في حالات الاستخدام الطويل,"قلة الرقابة على المحتوى, انتشار الموروث الشعبي الخاطئ, عدم وعي المستخدمين بالمخاطر, رغبة الناس في حلول سريعة ورخيصة, كل ما سبق",ربما,
2026-04-17 20:56:51.394,أنثى,26-35 سنة,ألمانيا,بكالوريوس,لا,نادرا,الأعشاب الطبية,دائماً,الجودة,نعم جداً,"الزعتر السوري, اليانسون, البابونج, النعناع, شمر زنجبيل",لا,أوافق,لا,لا,نعم بشدة,لا,,لا,لا,نعم بالتأكيد,نادراً,لم أشعر بأي أعراض,ربما,نعم,سمعت بالمصطلح بشكل عام لكن لا أعرف أمثلة,ربما في حالات الاستخدام الطويل,قلة الرقابة على المحتوى,نعم بالتأكيد,
2026-04-17 20:59:36.482,أنثى,36-50 سنة,اللاذقية,بكالوريوس,لا,"نعم , احيانا",زيارة الطبيب,أحياناً,الجودة,إلى حد ما,"إكليل الجبل, اليانسون, البابونج, النعناع, الورد الدمشقي",نعم,أوافق,لا,لا أعرف,ربما,لا,الشاي الأخضر,لا أعرف,نعم,لا أعرف,نادراً,لم أشعر بأي أعراض,ربما,ربما,"لا , لم أسمع بهذا من قبل",لا أعتقد ذلك,كل ما سبق,نعم بالتأكيد,لا شكرا
2026-04-17 21:00:10.826,أنثى,26-35 سنة,اللاذقية,ثانوية,لا,"نعم , احيانا",الأدوية من الصيدلية,أحياناً,نصيحة شخص آخر,إلى حد ما,زهورات شامية,نعم,أوافق,لا,لا أعرف,لا أعرف,لا,,لا أعرف,لا أعرف,لا أعرف,أحياناً,لم أشعر بأي أعراض,لا أعرف,نعم,"لا , لم أسمع بهذا من قبل",لا أعتقد ذلك,"عدم وعي المستخدمين بالمخاطر, رغبة الناس في حلول سريعة ورخيصة",نعم بالتأكيد,لا 
2026-04-17 21:01:27.616,أنثى,18-25 سنة,اللاذقية,بكالوريوس,نعم,"نعم , احيانا",زيارة الطبيب,دائماً,الثقة بالمصدر,لا أعلم,"إكليل الجبل, اليانسون",لا,أوافق بشدة,نعم,نعم,نعم,لا,لزيادة الوزن,ربما,لا أعرف,ربما,أحياناً,لم أشعر بأي أعراض,لا,نعم,"نعم , أعرف ذلك جيداً","نعم , بالتأكيد",قلة الرقابة على المحتوى,نعم بالتأكيد,
2026-04-17 21:02:10.893,أنثى,أكثر من 50 سنة,السويد,ثانوية,لا,"نعم , احيانا",زيارة الطبيب,دائماً,الشهرة/التجربة,إلى حد ما,"الزعتر السوري, إكليل الجبل, اليانسون, البابونج, النعناع, الورد الدمشقي, أوراق الزيتون",نعم,محايد,لا,نعم,نعم,نعم (انتقل إلى السؤال 18),"العشرق, الشاي الأخضر",ربما,ربما,ربما,دائماً,لم أشعر بأي أعراض,لا أعرف,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,رغبة الناس في حلول سريعة ورخيصة,نعم بالتأكيد,لا
2026-04-17 21:05:35.803,أنثى,36-50 سنة,دمشق,ثانوية,لا,"نعم , احيانا",الأدوية من الصيدلية,أحياناً,الجودة,إلى حد ما,"الزعتر السوري, إكليل الجبل, اليانسون, البابونج, النعناع, الورد الدمشقي",نعم,أوافق,لا,نعم,ربما,نعم (انتقل إلى السؤال 18),"السنامكي, الشاي الأخضر",نعم,نعم,ربما,غالباً,"تسارع ضربات القلب, لم أشعر بأي أعراض",لا,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل","نعم , بالتأكيد",عدم وعي المستخدمين بالمخاطر,ربما,لا
2026-04-17 21:06:39.732,أنثى,26-35 سنة,السويد,ثانوية,نعم,"نعم , احيانا",زيارة الطبيب,أحياناً,الثقة بالمصدر,لا أعلم,إكليل الجبل,لا,محايد,لا,لا,ربما,لا,الشاي الأخضر,ربما,ربما,ربما,أبداً,لم أشعر بأي أعراض,ربما,ربما,"لا , لم أسمع بهذا من قبل",لا أعرف,"قلة الرقابة على المحتوى, رغبة الناس في حلول سريعة ورخيصة, كل ما سبق",ربما,
2026-04-17 21:14:43.826,أنثى,18-25 سنة,اللاذقية,بكالوريوس,نعم,"نعم , احيانا","الأعشاب الطبية, الأدوية من الصيدلية",دائماً,الثقة بالمصدر,إلى حد ما,"الزعتر السوري, إكليل الجبل, اليانسون, البابونج, النعناع",نعم,لا أوافق,لا,نعم,نعم,لا,,نعم,نعم,ربما,نادراً,"إسهال, غثيان أو قيء",لا,نعم,"نعم , أعرف ذلك جيداً","نعم , بالتأكيد",كل ما سبق,نعم بالتأكيد,ضرورة القطاع الطبي بنشر الوعي على مستوى اكبر 
2026-04-17 21:15:53.183,أنثى,36-50 سنة,قطر ,ثانوية,لا,"نعم , احيانا",الأدوية من الصيدلية,دائماً,الثقة بالمصدر,إلى حد ما,"اليانسون, البابونج, النعناع",نعم,أوافق,لا,لا أعرف,ربما,نعم (انتقل إلى السؤال 18),ماتشا جميع انواع شاي التنخيف ,نعم,ربما,نعم بالتأكيد,غالباً,لم أشعر بأي أعراض,نعم,نعم,"نعم , أعرف ذلك جيداً",ربما في حالات الاستخدام الطويل,"قلة الرقابة على المحتوى, انتشار الموروث الشعبي الخاطئ, عدم وعي المستخدمين بالمخاطر, رغبة الناس في حلول سريعة ورخيصة",نعم بالتأكيد,
2026-04-17 21:16:52.423,أنثى,أكثر من 50 سنة,اللاذقية,ثانوية,لا,"نعم , بانتظام",الأدوية من الصيدلية,دائماً,الجودة,نعم جداً,البابونج,لا,أوافق بشدة,لا,لا أعرف,ربما,لا,,لا أعرف,لا أعرف,لا أعرف,دائماً,غثيان أو قيء,نعم,ربما,"لا , لم أسمع بهذا من قبل",لا أعرف,قلة الرقابة على المحتوى,نعم بالتأكيد,
2026-04-17 21:36:38.761,أنثى,18-25 سنة,دمشق,بكالوريوس,لا,"نعم , احيانا",الأعشاب الطبية,دائماً,الجودة,إلى حد ما,"اليانسون, ميرمية ",لا,أوافق بشدة,لا,لا أعرف,ربما,لا,,ربما,ربما,ربما,غالباً,لم أشعر بأي أعراض,نعم,ربما,"لا , لم أسمع بهذا من قبل",ربما في حالات الاستخدام الطويل,عدم وعي المستخدمين بالمخاطر,نعم بالتأكيد,"امكانية استخدام أعشاب لمعالجة أمراض غير متقدمة بدلا من الأدوية الكيماوية التي تعد سلاح ذو حدين 
أعتقد أن العلاج بالأعشاب أقل ضررا على صحة الإنسان
"
2026-04-17 21:59:10.585,أنثى,36-50 سنة,اللاذقية,ثانوية,لا,"لا , ابدا",زيارة الطبيب,دائماً,الثقة بالمصدر,لا أعلم,النعناع,نعم,لا أوافق,لا,لا أعرف,ربما,لا,,ربما,لا أعرف,ربما,أحياناً,لم أشعر بأي أعراض,لا,ربما,سمعت بالمصطلح بشكل عام لكن لا أعرف أمثلة,ربما في حالات الاستخدام الطويل,كل ما سبق,نعم بالتأكيد,لا
2026-04-17 22:01:47.468,ذكر,36-50 سنة,حلب,ثانوية,نعم,"نعم , بانتظام",الأعشاب الطبية,دائماً,الثقة بالمصدر,نعم جداً,"الزعتر السوري, اليانسون, البابونج, ",لا,أوافق بشدة,نعم,نعم,ربما,نعم (انتقل إلى السؤال 18),"الشاي الأخضر, القهوة الخضراء, ",نعم,ربما,نعم بالتأكيد,دائماً,"تقلصات أو آلام في البطن, إسهال, دوخة, حساسية",نعم,ربما,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,كل ما سبق,نعم بالتأكيد,نعم ولكن يجب مراقبتها جيدا قبل وبعد التوزيع 
2026-04-17 22:05:41.538,أنثى,18-25 سنة,اللاذقية,ثانوية,لا,"لا , ابدا",زيارة الطبيب,أبداً,الثقة بالمصدر,لا أعلم,"الزعتر السوري, إكليل الجبل, اليانسون, البابونج, النعناع",لا,محايد,لا,لا أعرف,نعم بشدة,لا,,نعم,نعم,نعم بالتأكيد,أحياناً,لم أشعر بأي أعراض,لا,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,"قلة الرقابة على المحتوى, عدم وعي المستخدمين بالمخاطر, رغبة الناس في حلول سريعة ورخيصة",ربما,
2026-04-17 22:07:06.525,أنثى,18-25 سنة,اللاذقية,بكالوريوس,نعم,"نعم , احيانا",زيارة الطبيب,نادراً,الثقة بالمصدر,إلى حد ما,النعناع,نعم,أوافق,لا,نعم,ربما,نعم (انتقل إلى السؤال 18),الشاي الأخضر,نعم,ربما,ربما,أحياناً,لم أشعر بأي أعراض,نعم,نعم,"نعم , أعرف ذلك جيداً","نعم , بالتأكيد",انتشار الموروث الشعبي الخاطئ,نعم بالتأكيد,
2026-04-17 22:07:21.598,أنثى,36-50 سنة,خارج سوريا (يرجى تحديد البلد),بكالوريوس,لا,"نعم , بانتظام",الأعشاب الطبية,دائماً,الثقة بالمصدر,نعم جداً,"اليانسون, البابونج, النعناع",نعم,لا أوافق,لا,لا أعرف,ربما,نعم (انتقل إلى السؤال 18),"السنامكي, الشاي الأخضر",ربما,ربما,ربما,غالباً,غثيان أو قيء,لا,نعم,"نعم , أعرف ذلك جيداً",ربما في حالات الاستخدام الطويل,"قلة الرقابة على المحتوى, انتشار الموروث الشعبي الخاطئ, عدم وعي المستخدمين بالمخاطر",نعم بالتأكيد,وجود صيدليه تبيع الأعشاب بدل عن الادويه الكميائيه
2026-04-17 22:09:24.649,أنثى,أكثر من 50 سنة,المانيا,أقل من الثانوية,لا,"لا , ابدا",زيارة الطبيب,أحياناً,الثقة بالمصدر,إلى حد ما,الزعتر السوري,نعم,أوافق,لا,لا أعرف,نعم,لا,الشاي الأخضر,لا أعرف,ربما,لا أعرف,أحياناً,لم أشعر بأي أعراض,لا أعرف,لا أعرف,"لا , لم أسمع بهذا من قبل",لا أعرف,رغبة الناس في حلول سريعة ورخيصة,نعم بالتأكيد,لا
2026-04-17 22:11:01.692,أنثى,36-50 سنة,خارج سوريا (يرجى تحديد البلد),بكالوريوس,نعم,"نعم , احيانا",الأدوية من الصيدلية,دائماً,الثقة بالمصدر,إلى حد ما,"إكليل الجبل, النعناع",نعم,لا أوافق,نعم,نعم,نعم,لا,,نعم,نعم,نعم بالتأكيد,أحياناً,لم أشعر بأي أعراض,لا,نعم,"نعم , أعرف ذلك جيداً","نعم , بالتأكيد","عدم وعي المستخدمين بالمخاطر, رغبة الناس في حلول سريعة ورخيصة",نعم بالتأكيد,نشر الوعي بين الناس
2026-04-17 22:14:18.036,أنثى,26-35 سنة,قطر,بكالوريوس,لا,"نعم , احيانا",الأدوية من الصيدلية,أحياناً,الثقة بالمصدر,إلى حد ما,"اليانسون, النعناع",لا,أوافق بشدة,لا,لا أعرف,ربما,لا,القهوة الخضراء,ربما,ربما,نعم بالتأكيد,أحياناً,لم أشعر بأي أعراض,ربما,لا أعرف,"لا , لم أسمع بهذا من قبل",لا أعرف,عدم وعي المستخدمين بالمخاطر,نعم بالتأكيد,
2026-04-17 22:15:09.520,أنثى,36-50 سنة,خارج سوريا (يرجى تحديد البلد),ثانوية,لا,"نعم , احيانا",الأعشاب الطبية,أحياناً,الشهرة/التجربة,إلى حد ما,"الزعتر السوري, البابونج, النعناع",لا,محايد,نعم,نعم,نعم بشدة,نعم (انتقل إلى السؤال 18),"السنامكي, العشرق, الشاي الأخضر",نعم,ربما,نعم بالتأكيد,دائماً,"تقلصات أو آلام في البطن, إسهال",لا,ربما,"نعم , سمعت عنه لكن لا أعرف التفاصيل",لا أعرف,كل ما سبق,نعم بالتأكيد,
2026-04-17 22:20:18.726,أنثى,26-35 سنة,اللاذقية,بكالوريوس,لا,"نعم , احيانا",الأعشاب الطبية,أحياناً,الشهرة/التجربة,إلى حد ما,"الزعتر السوري, البابونج, النعناع",نعم,أوافق,لا,لا,ربما,نعم (انتقل إلى السؤال 18),الشاي الأخضر,ربما,ربما,نعم بالتأكيد,غالباً,تقلصات أو آلام في البطن,لا,نعم,"نعم , أعرف ذلك جيداً","نعم , بالتأكيد",انتشار الموروث الشعبي الخاطئ,نعم بالتأكيد,وجود رقابة على بيع بعض الاعشاب 
2026-04-17 22:32:25.214,أنثى,26-35 سنة,إدلب,ثانوية,لا,"نعم , احيانا",الأدوية من الصيدلية,نادراً,نصيحة شخص آخر,إلى حد ما,البابونج,لا,أوافق,لا,نعم,نعم,نعم (انتقل إلى السؤال 18),الشاي الأخضر,نعم بشدة,نعم بشدة,لا أعرف,دائماً,تقلصات أو آلام في البطن,لا,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,كل ما سبق,نعم بالتأكيد,لا
2026-04-17 22:33:53.641,ذكر,26-35 سنة,فرنسا,بكالوريوس,لا,"نعم , احيانا","الأدوية من الصيدلية, زيارة الطبيب",نادراً,نصيحة شخص آخر,إلى حد ما,"اليانسون, البابونج, النعناع",نعم,محايد,نعم,لا أعرف,ربما,لا,القهوة الخضراء,ربما,ربما,نعم بالتأكيد,غالباً,غثيان أو قيء,ربما,لا أعرف,"نعم , أعرف ذلك جيداً","نعم , بالتأكيد",كل ما سبق,ربما,
2026-04-17 22:42:33.060,أنثى,36-50 سنة,خارج سوريا (يرجى تحديد البلد),بكالوريوس,لا,"لا , ابدا",زيارة الطبيب,دائماً,السعر,إلى حد ما,البابونج,نعم,لا أوافق بشدة,لا,لا أعرف,نعم بشدة,لا,,نعم,نعم,نعم بالتأكيد,نادراً,"لم أشعر بأي أعراض, ",لا,نعم,"لا , لم أسمع بهذا من قبل",ربما في حالات الاستخدام الطويل,كل ما سبق,ربما,
2026-04-17 22:44:18.474,أنثى,36-50 سنة,اللاذقية,دراسات عليا,لا,"نعم , احيانا",الأعشاب الطبية,دائماً,الشهرة/التجربة,إلى حد ما,"البابونج, النعناع",نعم,أوافق,لا,لا أعرف,ربما,نعم (انتقل إلى السؤال 18),الشاي الأخضر,ربما,ربما,ربما,أحياناً,لم أشعر بأي أعراض,لا,ربما,"لا , لم أسمع بهذا من قبل",لا أعتقد ذلك,"قلة الرقابة على المحتوى, رغبة الناس في حلول سريعة ورخيصة",نعم بالتأكيد,لا .. شكراً
2026-04-17 22:50:33.044,أنثى,18-25 سنة,خارج سوريا (يرجى تحديد البلد),ثانوية,لا,"نعم , احيانا",الأعشاب الطبية,نادراً,الشهرة/التجربة,إلى حد ما,"الزعتر السوري, إكليل الجبل, اليانسون, البابونج, النعناع",لا,محايد,لا,نعم,نعم,لا,,لا,لا,ربما,دائماً,لم أشعر بأي أعراض,لا,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل","نعم , بالتأكيد","قلة الرقابة على المحتوى, عدم وعي المستخدمين بالمخاطر, رغبة الناس في حلول سريعة ورخيصة",نعم بالتأكيد,
2026-04-17 22:52:22.528,أنثى,18-25 سنة,اللاذقية,بكالوريوس,نعم,نادرا,زيارة الطبيب,أحياناً,الثقة بالمصدر,نعم جداً,اليانسون,نعم,محايد,نعم,لا أعرف,ربما,نعم (انتقل إلى السؤال 18),الشاي الأخضر,ربما,ربما,لا (لأنها طبيعية),أحياناً,لم أشعر بأي أعراض,ربما,نعم,"لا , لم أسمع بهذا من قبل",لا أعرف,عدم وعي المستخدمين بالمخاطر,نعم بالتأكيد,
2026-04-17 22:52:34.897,أنثى,18-25 سنة,مصر,بكالوريوس,نعم,"نعم , احيانا","الأعشاب الطبية, زيارة الطبيب",دائماً,الثقة بالمصدر,نعم جداً,"اليانسون, البابونج, النعناع, الخبيزة",نعم,محايد,لا,نعم,نعم,نعم (انتقل إلى السؤال 18),"السنامكي, الشاي الأخضر, ليمون و زنجبيل للحرق",ربما,ربما,ربما,غالباً,لم أشعر بأي أعراض,ربما,ربما,"نعم , سمعت عنه لكن لا أعرف التفاصيل",لا أعتقد ذلك,كل ما سبق,نعم بالتأكيد,طريقة تحضير العشبة تغير الفائدة 
2026-04-17 22:54:48.340,أنثى,18-25 سنة,اللاذقية,دراسات عليا,لا,"نعم , احيانا",زيارة الطبيب,دائماً,الشهرة/التجربة,إلى حد ما,النعناع,نعم,محايد,لا,لا,نعم,لا,القهوة الخضراء,ربما,ربما,نعم بالتأكيد,نادراً,لم أشعر بأي أعراض,لا,ربما,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,كل ما سبق,ربما,
2026-04-17 22:55:59.324,أنثى,36-50 سنة,خارج سوريا (يرجى تحديد البلد),بكالوريوس,لا,"نعم , احيانا","الأعشاب الطبية, زيارة الطبيب",دائماً,الجودة,إلى حد ما,"الزعتر السوري, إكليل الجبل, اليانسون, البابونج, النعناع, الورد الدمشقي, أوراق الزيتون, ",نعم,محايد,لا,نعم,نعم,لا,الشاي الأخضر,نعم,نعم,نعم بالتأكيد,أحياناً,لم أشعر بأي أعراض,لا,نعم,سمعت بالمصطلح بشكل عام لكن لا أعرف أمثلة,ربما في حالات الاستخدام الطويل,كل ما سبق,ربما,الأعشاب الطبية ليست مجرد نباتات، بل هي إرث غني يحمل خبرة أجدادنا في العلاج والوقاية 🌿
2026-04-17 22:59:47.135,أنثى,36-50 سنة,مصر,أقل من الثانوية,لا,"نعم , بانتظام",الأعشاب الطبية,دائماً,الثقة بالمصدر,نعم جداً,أوراق الزيتون,نعم,أوافق,لا,لا أعرف,نعم,لا,الشاي الأخضر,نعم,نعم,نعم بالتأكيد,دائماً,لم أشعر بأي أعراض,ربما,نعم,"لا , لم أسمع بهذا من قبل",لا أعرف,عدم وعي المستخدمين بالمخاطر,نعم بالتأكيد,
2026-04-17 23:00:08.420,أنثى,18-25 سنة,إدلب,بكالوريوس,نعم,"نعم , احيانا","الأعشاب الطبية, الأدوية من الصيدلية",دائماً,الشهرة/التجربة,إلى حد ما,"الزعتر السوري, إكليل الجبل, اليانسون, البابونج",نعم,لا أوافق,لا,نعم,نعم,نعم (انتقل إلى السؤال 18),الشاي الأخضر,نعم,نعم,ربما,دائماً,لم أشعر بأي أعراض,لا,نعم,"نعم , أعرف ذلك جيداً",ربما في حالات الاستخدام الطويل,كل ما سبق,نعم بالتأكيد,لا
2026-04-17 23:07:51.855,أنثى,18-25 سنة,اللاذقية,بكالوريوس,نعم,"نعم , احيانا",الأدوية من الصيدلية,دائماً,الجودة,إلى حد ما,"الزعتر السوري, اليانسون, البابونج, النعناع",نعم,لا أوافق,لا,نعم,نعم,لا,,نعم بشدة,نعم,ربما,غالباً,لم أشعر بأي أعراض,لا,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,كل ما سبق,نعم بالتأكيد,
2026-04-17 23:08:37.142,أنثى,18-25 سنة,المانيا,بكالوريوس,لا,"نعم , احيانا","الأعشاب الطبية, زيارة الطبيب",دائماً,نصيحة شخص آخر,إلى حد ما,"إكليل الجبل, اليانسون, الورد الدمشقي, أوراق الزيتون",نعم,محايد,لا,لا أعرف,نعم بشدة,لا,,لا أعرف,لا أعرف,ربما,دائماً,لم أشعر بأي أعراض,لا,نعم,"لا , لم أسمع بهذا من قبل",ربما في حالات الاستخدام الطويل,"قلة الرقابة على المحتوى, انتشار الموروث الشعبي الخاطئ, عدم وعي المستخدمين بالمخاطر, رغبة الناس في حلول سريعة ورخيصة, كل ما سبق",نعم بالتأكيد,
